#name zcmb dz mb dmb
SN660613 0.2578 0.0 24.294 0.106
SN610110 0.4403 0.0 25.385 0.134
SN690919 0.0398 0.0 20.380 0.146
SN790126 1.1388 0.0 27.221 0.116
SN751015 0.6752 0.0 26.125 0.143
SN641233 0.4413 0.0 25.113 0.156
SN690723 0.1197 0.0 22.575 0.139
SN570903 0.0412 0.0 20.119 0.192
SN721014 0.1764 0.0 23.728 0.171
SN590705 0.2189 0.0 23.805 0.146
SN790232 0.3699 0.0 25.009 0.144
SN681227 0.0094 0.0 16.792 0.169
SN671310 0.2571 0.0 24.413 0.219
SN680705 1.2070 0.0 27.387 0.100
SN760914 0.4076 0.0 25.110 0.152
SN601015 0.0049 0.0 15.893 0.109
SN630403 0.1334 0.0 22.673 0.128
SN560715 0.1592 0.0 22.894 0.173
SN670831 0.0542 0.0 20.749 0.187
SN741123 0.1697 0.0 23.368 0.198
SN690210 0.1351 0.0 22.780 0.118
SN671329 0.4995 0.0 25.670 0.140
SN790811 0.0530 0.0 21.081 0.207
SN560408 0.6054 0.0 25.732 0.130
SN561119 0.3963 0.0 25.101 0.159
SN701110 0.3537 0.0 24.936 0.112
SN561104 0.6389 0.0 25.848 0.111
SN690930 0.3543 0.0 24.625 0.142
SN801115 0.5080 0.0 25.434 0.190
SN801212 0.4832 0.0 25.622 0.110
SN610302 0.2885 0.0 24.524 0.108
SN560133 0.0893 0.0 21.951 0.122
SN581127 0.0586 0.0 21.062 0.113
SN770801 0.0283 0.0 19.341 0.135
SN561301 0.3462 0.0 24.903 0.131
SN790331 0.4796 0.0 25.522 0.162
SN660808 0.0658 0.0 21.371 0.140
SN631132 0.5239 0.0 25.637 0.138
SN700608 0.0863 0.0 21.786 0.124
SN570101 0.0819 0.0 21.828 0.122
SN650517 0.1087 0.0 22.341 0.164
SN780314 0.0463 0.0 20.391 0.168
SN701102 0.1601 0.0 23.087 0.124
SN760334 0.3709 0.0 25.106 0.152
SN790210 0.3840 0.0 24.812 0.137
SN670726 0.3329 0.0 24.592 0.157
SN750419 0.1620 0.0 23.274 0.110
SN601203 0.2652 0.0 24.349 0.103
SN640915 0.0463 0.0 20.587 0.110
SN610434 0.0381 0.0 20.030 0.136
SN560802 0.3218 0.0 24.596 0.113
SN800611 0.6554 0.0 26.141 0.095
SN560709 0.4572 0.0 25.397 0.128
SN710619 0.4094 0.0 25.250 0.098
SN711118 0.0748 0.0 21.910 0.113
SN730525 0.2414 0.0 23.876 0.135
SN700615 0.3002 0.0 24.216 0.202
SN670509 0.1399 0.0 22.805 0.141
SN741323 0.0662 0.0 21.190 0.140
SN590625 1.0704 0.0 27.246 0.125
SN600934 0.2224 0.0 24.045 0.158
SN800630 0.1673 0.0 23.134 0.137
SN621107 0.4152 0.0 24.891 0.167
SN601128 0.5147 0.0 25.688 0.097
SN800222 0.3612 0.0 24.997 0.147
SN640716 0.1779 0.0 23.579 0.135
SN660701 0.1252 0.0 22.811 0.161
SN641206 0.0265 0.0 19.393 0.126
SN590411 0.2514 0.0 24.032 0.132
SN671316 0.7999 0.0 26.660 0.139
SN591126 0.2687 0.0 24.435 0.129
SN720306 0.6935 0.0 26.112 0.121
SN790622 0.4894 0.0 25.480 0.110
SN650133 0.0940 0.0 22.322 0.134
SN730420 0.6507 0.0 26.035 0.134
SN561012 0.2285 0.0 23.859 0.129
SN640713 1.9587 0.0 28.552 0.212
SN721130 0.2216 0.0 23.954 0.110
SN651122 1.1689 0.0 27.129 0.142
SN791229 0.1666 0.0 23.043 0.219
SN560420 0.1676 0.0 23.344 0.166
SN701203 0.2409 0.0 23.824 0.259
SN800517 0.0401 0.0 20.173 0.165
SN790934 0.4183 0.0 25.213 0.137
SN610303 0.0753 0.0 21.220 0.193
SN650605 0.4166 0.0 25.158 0.126
SN781214 0.3904 0.0 24.931 0.156
SN590913 0.0848 0.0 21.819 0.162
SN800705 0.2664 0.0 24.019 0.139
SN791003 0.3526 0.0 25.092 0.135
SN561206 1.5812 0.0 27.719 0.252
SN800820 0.1229 0.0 22.556 0.129
SN641324 0.3015 0.0 24.338 0.139
SN561210 0.0580 0.0 20.944 0.158
SN611320 0.0480 0.0 20.826 0.129
SN621119 1.5669 0.0 28.050 0.121
SN780724 0.1315 0.0 22.848 0.151
SN700202 0.8294 0.0 26.509 0.153
SN781009 0.0557 0.0 21.132 0.180
SN750924 0.0119 0.0 17.549 0.172
SN721132 0.3076 0.0 24.414 0.129
SN680206 0.7132 0.0 26.293 0.122
SN680617 0.3342 0.0 24.734 0.276
SN691205 0.0078 0.0 16.654 0.167
SN590702 0.5256 0.0 25.710 0.135
SN740519 0.2129 0.0 23.754 0.143
SN590317 0.3927 0.0 24.983 0.168
SN710732 0.3218 0.0 24.504 0.143
SN661311 0.0351 0.0 19.978 0.138
SN741309 0.1656 0.0 23.299 0.098
SN601333 0.3775 0.0 25.099 0.131
SN611109 0.1178 0.0 22.627 0.137
SN761118 0.0114 0.0 17.312 0.143
SN720921 0.8839 0.0 26.565 0.205
SN751234 0.0021 0.0 14.003 0.119
SN720403 0.2355 0.0 24.174 0.192
SN610519 0.5225 0.0 25.669 0.118
SN600833 0.0477 0.0 20.771 0.173
SN700425 0.1849 0.0 23.471 0.139
SN710121 0.0844 0.0 22.004 0.140
SN620203 0.2931 0.0 24.512 0.130
SN580122 0.1298 0.0 22.805 0.107
SN641222 0.2090 0.0 23.725 0.151
SN780507 0.4137 0.0 25.105 0.166
SN591222 0.0119 0.0 17.682 0.148
SN740928 0.5988 0.0 26.037 0.139
SN690930 0.0250 0.0 19.406 0.155
SN730201 0.0317 0.0 19.789 0.145
SN801207 0.0641 0.0 21.428 0.139
SN680103 0.0988 0.0 22.023 0.227
SN630901 0.0676 0.0 21.386 0.140
SN680402 0.4283 0.0 25.404 0.161
SN720706 1.0934 0.0 27.162 0.155
SN681226 0.3496 0.0 24.946 0.127
SN731130 0.3903 0.0 25.303 0.146
SN591203 1.5060 0.0 27.745 0.146
SN600407 0.2817 0.0 24.479 0.171
SN640703 0.6399 0.0 26.198 0.128
SN580714 0.1472 0.0 23.025 0.146
SN680422 0.0812 0.0 21.642 0.191
SN640432 0.9671 0.0 27.118 0.128
SN790822 0.8629 0.0 26.549 0.156
SN750514 1.0051 0.0 26.990 0.124
SN681006 0.3882 0.0 24.888 0.173
SN560128 0.2792 0.0 24.438 0.132
SN610418 0.1533 0.0 23.459 0.213
SN701301 0.2665 0.0 24.273 0.165
SN640501 0.0042 0.0 15.499 0.130
SN731110 0.0264 0.0 19.421 0.118
SN690620 0.6363 0.0 25.922 0.135
SN790105 0.5127 0.0 25.733 0.145
SN730923 0.2487 0.0 24.239 0.189
SN740721 0.0360 0.0 19.945 0.192
SN620633 0.2376 0.0 24.135 0.121
SN670326 0.1287 0.0 22.632 0.132
SN731116 0.4394 0.0 25.216 0.139
SN661106 0.1497 0.0 22.987 0.136
SN570828 0.9523 0.0 27.180 0.145
SN620623 0.1070 0.0 22.427 0.142
SN571318 0.9322 0.0 26.964 0.148
SN770916 0.1817 0.0 23.227 0.120
SN640210 0.0112 0.0 17.718 0.152
SN611325 0.0424 0.0 20.429 0.125
SN671231 0.3210 0.0 24.744 0.106
SN800827 0.3012 0.0 24.190 0.217
SN770910 0.3526 0.0 24.783 0.151
SN600624 0.1480 0.0 23.036 0.139
SN720324 0.0324 0.0 19.830 0.205
SN601124 0.1075 0.0 22.518 0.111
SN651029 0.2668 0.0 24.424 0.167
SN790932 0.5423 0.0 25.853 0.120
SN710320 0.2116 0.0 23.913 0.149
SN791127 0.3604 0.0 25.158 0.116
SN721219 0.2600 0.0 24.296 0.262
SN660426 0.1356 0.0 22.899 0.138
SN621328 0.2492 0.0 24.108 0.146
SN600214 0.2868 0.0 24.380 0.169
SN650517 0.3600 0.0 24.821 0.135
SN801234 0.3211 0.0 24.620 0.118
SN580107 0.0594 0.0 20.874 0.130
SN780411 0.0319 0.0 19.891 0.158
SN590719 0.5957 0.0 25.917 0.132
SN580130 0.3099 0.0 24.452 0.118
SN690312 0.0325 0.0 20.017 0.148
SN560810 0.3222 0.0 24.658 0.107
SN620708 0.0065 0.0 16.394 0.169
SN720831 0.0136 0.0 18.051 0.142
SN720701 0.3245 0.0 24.359 0.131
SN720434 0.2147 0.0 23.595 0.155
SN680214 0.3707 0.0 24.853 0.154
SN620414 0.0405 0.0 20.417 0.126
SN750430 0.0737 0.0 21.623 0.112
SN700511 0.0383 0.0 20.294 0.197
SN691103 0.1505 0.0 23.064 0.183
SN710631 0.4052 0.0 25.190 0.128
SN770323 0.7769 0.0 26.941 0.232
SN600103 0.1991 0.0 23.580 0.205
SN721009 0.8475 0.0 26.495 0.107
SN781209 0.1754 0.0 23.083 0.139
SN561002 0.0420 0.0 20.146 0.168
SN661102 0.6082 0.0 25.938 0.136
SN650931 0.2413 0.0 24.165 0.131
SN660102 0.3038 0.0 24.865 0.126
SN560306 0.7541 0.0 26.427 0.156
SN691202 0.1133 0.0 22.766 0.133
SN600712 0.6709 0.0 26.371 0.156
SN701114 0.7937 0.0 26.672 0.114
SN690216 1.3754 0.0 27.479 0.258
SN681319 0.1322 0.0 22.937 0.132
SN570829 0.0620 0.0 21.222 0.237
SN730228 0.1466 0.0 23.167 0.128
SN790403 0.1931 0.0 23.345 0.198
SN681009 0.7315 0.0 26.496 0.161
SN671317 0.5620 0.0 25.816 0.120
SN750429 0.1431 0.0 22.940 0.150
SN651001 0.0449 0.0 20.423 0.130
SN780515 0.0571 0.0 20.918 0.116
SN661323 0.7445 0.0 26.290 0.133
SN581018 0.9301 0.0 26.858 0.141
SN740309 0.0779 0.0 21.831 0.131
SN761215 0.7050 0.0 26.309 0.126
SN670910 1.2126 0.0 27.406 0.177
SN570815 0.8016 0.0 26.547 0.147
SN571311 0.2052 0.0 23.740 0.133
SN790407 0.4787 0.0 25.321 0.181
SN710410 0.1147 0.0 22.832 0.150
SN770630 0.1095 0.0 22.632 0.331
SN750803 0.3897 0.0 25.319 0.111
SN671116 0.2526 0.0 24.133 0.181
SN610914 0.1029 0.0 22.234 0.127
SN761007 0.6284 0.0 26.049 0.119
SN640412 0.1312 0.0 22.890 0.139
SN760610 0.0105 0.0 17.354 0.131
SN750703 0.6228 0.0 25.886 0.216
SN730232 0.2530 0.0 24.103 0.192
SN761331 0.0526 0.0 20.876 0.135
SN731002 0.4917 0.0 25.438 0.118
SN771018 0.3178 0.0 24.723 0.140
SN741119 1.2062 0.0 27.236 0.109
SN561224 0.0275 0.0 19.555 0.134
SN570332 0.6421 0.0 26.069 0.128
SN770731 0.5381 0.0 25.628 0.187
SN740731 0.9655 0.0 26.993 0.129
SN600915 0.2242 0.0 24.262 0.119
SN750905 0.1690 0.0 23.493 0.114
SN720823 0.1638 0.0 23.377 0.128
SN570808 0.0469 0.0 20.999 0.224
SN751112 0.1549 0.0 23.249 0.116
SN680202 0.1584 0.0 23.319 0.163
SN561332 0.3055 0.0 24.693 0.127
SN621108 0.2985 0.0 24.585 0.142
SN801228 0.1166 0.0 22.391 0.117
SN590531 1.0966 0.0 27.061 0.164
SN720109 0.4894 0.0 25.756 0.133
SN690923 0.4822 0.0 25.496 0.140
SN750920 0.1103 0.0 22.358 0.118
SN560422 0.1894 0.0 23.788 0.103
SN790827 0.1437 0.0 23.056 0.112
SN610524 0.1013 0.0 22.163 0.124
SN800302 0.7680 0.0 26.539 0.191
SN720112 0.3524 0.0 24.995 0.128
SN730122 0.2211 0.0 23.718 0.182
SN710727 0.3519 0.0 24.984 0.124
SN791103 0.0313 0.0 19.656 0.097
SN720202 0.1041 0.0 22.425 0.138
SN720432 0.0960 0.0 21.890 0.160
SN781033 0.0374 0.0 20.327 0.143
SN580304 0.2716 0.0 24.466 0.137
SN751234 0.1621 0.0 23.339 0.132
SN670511 0.2277 0.0 24.023 0.130
SN661131 0.2281 0.0 23.998 0.117
SN620222 0.5805 0.0 25.809 0.145
